2,Open,Close,High,Low,Volume,ATR,PL,pl_value,SMA_k7,SMA_k20,SMA_k50
2023-06-08 11:54:00,428.49,428.58,428.585,428.49,34396.0,0.12969487084619102,1,194.54230626928393,1.000059614879874,0.999682042364714,0.9999557115463751
2023-06-08 11:55:00,428.58,428.75,428.75,428.57,84689.0,0.12282933378511625,0,-37.800000000004275,1.000299683791588,0.9999442725536657,1.000144269258981
2023-06-08 11:56:00,428.74,428.62,428.74,428.61,56727.0,0.12069756576233336,0,-120.69756576232749,1.0006447620072003,1.0003572554489155,1.0004952351070227
2023-06-08 11:57:00,428.615,428.615,428.65,428.585,33654.0,0.1304691078195857,1,34.99999999996817,1.000221693269859,1.0000679327085165,1.0001778648839104
2023-06-08 11:58:00,428.6,428.5422,428.645,428.54,33403.0,0.12654825994551783,1,29.999999999972715,1.0001050040251542,1.0000482407778304,1.0001183574505987
2023-06-08 11:59:00,428.55,428.6215,428.6215,428.54,27955.0,0.11983506919731317,1,79.99999999998408,0.9999183359193626,0.9999374091214569,0.9999783507195473
2023-06-08 12:00:00,428.63,428.65,428.6696,428.55,72960.0,0.1129190219750882,0,-29.999999999972715,1.0001016631084578,1.0001450762198492,1.000143552321643
2023-06-08 12:01:00,428.66,428.63,428.68,428.61,34002.0,0.10469147779934013,0,-40.000000000020464,1.0001383238812016,1.0002162437372006,1.0001860141590557
2023-06-08 12:02:00,428.65,428.63,428.71,428.62,42632.0,0.10973700508814188,0,0.0,1.000058326042578,1.0001789075416674,1.0001378423969511
2023-06-08 12:03:00,428.62,428.6,428.65,428.56,35951.0,0.11295165759023304,1,89.99999999997499,0.9999650051908967,1.000113563359453,1.0000454455816086
2023-06-08 12:04:00,428.59,428.62,428.64,428.57,36063.0,0.11354978266318907,1,170.32467399479856,0.9999350070409039,1.0000542505922356,0.9999539861114023
2023-06-08 12:05:00,428.625,428.65,428.68,428.575,17956.0,0.09806096257406854,1,64.99999999999773,1.00002499750025,1.0001480300753058,1.000018846666068
